,mean,number,ID
0,4.1457084185458415,0,District 1
1,9.187686318359663,1,District 1
2,13.081998845206956,2,District 1
3,8.016981919637239,3,District 1
4,-6.2681220558360256,4,District 1
5,22.533226808735087,5,District 1
6,28.99452938531127,6,District 1
7,35.46336287103635,7,District 1
8,34.10092423115298,8,District 1
9,38.2959931456672,9,District 1
10,-21.353321883811887,10,District 1
11,39.77915474641758,11,District 1
12,37.5667204195535,12,District 1
13,41.75723077127576,13,District 1
14,34.62588114024012,14,District 1
15,30.78200131658874,15,District 1
16,12.369047632958653,16,District 1
17,19.823031499064086,17,District 1
18,14.533233396563167,18,District 1
19,11.687414449312827,19,District 1
20,12.4061143808843,20,District 1
21,-10.721925848628652,21,District 1
22,-9.02384571951853,22,District 1
23,5.4649185121651325,23,District 1
24,6.245402056842147,24,District 1
25,-9.728709555607459,25,District 1
26,20.35431063065299,26,District 1
27,22.85286185358948,27,District 1
28,28.380945379125897,28,District 1
29,28.18599389704288,29,District 1
30,35.197946389029,30,District 1
31,34.28510877632067,31,District 1
32,29.78825047633699,32,District 1
33,34.509256445051165,33,District 1
34,38.23003234557837,34,District 1
35,36.51148794263376,35,District 1
36,31.387827761040416,36,District 1
37,-22.88102158188748,37,District 1
38,-13.92980709453985,38,District 1
39,12.255488620194084,39,District 1
40,13.1576299681112,40,District 1
41,-3.94048770451724,41,District 1
42,5.522544543663067,42,District 1
43,-31.14457528592059,43,District 1
44,8.76542631489291,44,District 1
45,20.83604222000113,45,District 1
46,-4.894415083278095,46,District 1
47,27.31785421703256,47,District 1
48,28.478374817806912,48,District 1
49,18.24887599992405,49,District 1
50,38.82895594784249,50,District 1
51,40.3896861868908,51,District 1
52,41.07537310431072,52,District 1
53,31.04593223741332,53,District 1
54,29.737915271857712,54,District 1
55,33.548404479061375,55,District 1
56,1.823944753023146,56,District 1
57,21.05981320160424,57,District 1
58,8.565639831120697,58,District 1
59,6.796127099505177,59,District 1
60,8.512139095609484,60,District 1
61,11.03216537528982,61,District 1
62,6.562380889825244,62,District 1
63,-0.8856687969323502,63,District 1
64,6.965171519722565,64,District 1
65,8.677696385891966,65,District 1
66,-7.3311871491865075,66,District 1
67,15.952395826764128,67,District 1
68,27.044235792923136,68,District 1
69,33.960123897280106,69,District 1
70,32.129305598986264,70,District 1
71,38.89711867981264,71,District 1
72,38.786544784530875,72,District 1
73,41.9373457161557,73,District 1
74,36.33377731940725,74,District 1
75,37.316233121517406,75,District 1
76,33.69116507797749,76,District 1
77,32.232877562618015,77,District 1
78,23.021726417035755,78,District 1
79,26.468681370028087,79,District 1
80,-4.242770882448274,80,District 1
81,5.366752997721558,81,District 1
82,-0.46101386550835943,82,District 1
83,5.85821670621498,83,District 1
84,5.318332792608793,84,District 1
85,-21.823382049894736,85,District 1
86,7.129268058060886,86,District 1
87,17.16808824787613,87,District 1
88,21.183611566038675,88,District 1
89,24.659737398662767,89,District 1
90,28.933874248087022,90,District 1
91,35.05023076696012,91,District 1
92,34.92910898180545,92,District 1
93,37.701018114959695,93,District 1
94,39.997237817761096,94,District 1
95,40.44697519809988,95,District 1
96,37.89837801262634,96,District 1
97,5.9238765006826215,97,District 1
98,31.83006557656882,98,District 1
99,29.00825165967208,99,District 1
100,23.892827426927774,100,District 1
101,-9.792278716754888,101,District 1
102,17.77753684132963,102,District 1
103,12.599390441141354,103,District 1
104,-6.860624462515944,104,District 1
105,0.747001172039052,105,District 1
106,6.721630350781952,106,District 1
107,-19.939502031661327,107,District 1
108,0.018945399265734495,108,District 1
109,-3.122011786533148,109,District 1
110,5.03353537543464,110,District 1
111,15.779686007000764,111,District 1
112,23.933111263082296,112,District 1
113,29.355705395859328,113,District 1
114,32.00359922541501,114,District 1
115,35.092552773144085,115,District 1
116,36.685955499686735,116,District 1
117,39.623046968646975,117,District 1
118,37.66299907500951,118,District 1
119,35.733834323981085,119,District 1
120,35.93381262843623,120,District 1
121,33.60676396836244,121,District 1
122,19.489597698289607,122,District 1
123,-1.4213974609751094,123,District 1
124,4.113926150172008,124,District 1
125,-5.8726243509501685,125,District 1
126,18.66606215608279,126,District 1
127,-14.488511183546152,127,District 1
128,12.978721678198028,128,District 1
129,3.7215681053848897,129,District 1
130,-11.074058250445324,130,District 1
131,-1.2594136349051217,131,District 1
132,4.70726892256262,132,District 1
133,-21.214939787349188,133,District 1
134,25.02571837846088,134,District 1
135,18.45654175775138,135,District 1
136,28.62161477960052,136,District 1
137,39.83308833173352,137,District 1
138,38.50578787872047,138,District 1
139,39.1141043693416,139,District 1
140,41.745795526489154,140,District 1
141,36.4326524994558,141,District 1
142,35.988352438039,142,District 1
143,32.6250659725804,143,District 1
144,20.23740512079004,144,District 1
145,13.082884224794393,145,District 1
146,6.437158696137865,146,District 1
147,-20.331413513946387,147,District 1
148,3.5243992202826866,148,District 1
149,4.397280715034618,149,District 1
150,8.093503932337494,150,District 1
151,2.8297995909800298,151,District 1
152,-5.808804101759577,152,District 1
153,14.727923647184276,153,District 1
154,22.850298985398343,154,District 1
155,24.57256396273119,155,District 1
156,31.79322289507984,156,District 1
157,35.82842141927581,157,District 1
158,35.857942167842026,158,District 1
159,32.5048204706418,159,District 1
160,39.758741077916326,160,District 1
161,40.36259165643503,161,District 1
162,24.585353422406584,162,District 1
163,38.297888292028794,163,District 1
164,34.80921884562135,164,District 1
165,25.215254395936505,165,District 1
166,-35.884946431050786,166,District 1
167,-1.3477657907301943,167,District 1
168,-54.39865825653557,168,District 1
169,5.812191102335048,169,District 1
170,-15.58419298477884,170,District 1
171,-31.409345168013967,171,District 1
172,3.3673485378469943,172,District 1
173,2.140621807395019,173,District 1
174,6.310358600722048,174,District 1
175,12.57827607636934,175,District 1
176,13.31895566771526,176,District 1
177,7.591420509934178,177,District 1
178,29.5083731797914,178,District 1
179,27.73189333895904,179,District 1
180,34.59169847868078,180,District 1
181,30.644891922157687,181,District 1
182,35.66030484161779,182,District 1
183,36.16519383832686,183,District 1
184,35.056623160607934,184,District 1
185,31.452746546454136,185,District 1
186,4.15333449445819,186,District 1
187,25.012914858865784,187,District 1
188,13.510677409340095,188,District 1
189,7.147375481728785,189,District 1
190,9.55916433778326,190,District 6
191,13.144240041365489,191,District 6
192,9.516569301842862,192,District 6
193,-1.0243340658744426,193,District 6
194,25.594524230437383,194,District 6
195,31.489835538265385,195,District 6
196,37.8273122835842,196,District 6
197,36.29951329200373,197,District 6
198,39.97908062229007,198,District 6
199,-13.592685564198598,199,District 6
200,41.33502008084879,200,District 6
201,39.88357679918113,201,District 6
202,44.06018130071138,202,District 6
203,35.80399761810648,203,District 6
204,32.78184568330022,204,District 6
205,-9.334355610264938,205,District 6
206,20.32859089033713,206,District 6
207,15.526250792968296,207,District 6
208,14.134504089926232,208,District 6
209,13.6282131005615,209,District 6
210,-12.168642126006404,210,District 6
211,-27.62659299614672,211,District 6
212,-4.048058450278948,212,District 6
213,6.288543957198533,213,District 6
214,-8.797804236390725,214,District 6
215,23.102479689606653,215,District 6
216,25.590740605646108,216,District 6
217,29.951351952831512,217,District 6
218,30.74945605293028,218,District 6
219,36.722564468264395,219,District 6
220,35.45311199337258,220,District 6
221,22.92145982047352,221,District 6
222,35.425517809196684,222,District 6
223,38.907223431794186,223,District 6
224,35.78123986281294,224,District 6
225,30.816000158545528,225,District 6
226,-29.9263678656332,226,District 6
227,-18.18520616988209,227,District 6
228,13.595486140329331,228,District 6
229,15.691091267284916,229,District 6
230,-3.213574455802081,230,District 6
231,5.905923316457205,231,District 6
232,-34.605301965439494,232,District 6
233,10.07741552000656,233,District 6
234,22.545874065098086,234,District 6
235,-17.11424830665479,235,District 6
236,28.8522774996128,236,District 6
237,29.322510727705,237,District 6
238,22.83483261086928,238,District 6
239,40.03453918876261,239,District 6
240,41.79645190276469,240,District 6
241,41.56483485305924,241,District 6
242,27.80971232734036,242,District 6
243,27.966743683815906,243,District 6
244,33.46490564031939,244,District 6
245,-3.6606883155829975,245,District 6
246,21.2136692943412,246,District 6
247,8.796838832190003,247,District 6
248,-0.7020301248923482,248,District 6
249,9.971674982227283,249,District 6
250,11.141237065008175,250,District 6
251,4.773312502498491,251,District 6
252,-0.6304394319010241,252,District 6
