,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,lanes,ref,bridge,junction,width
455,281959689,281959793,0,25850112,False,حجاب ۵۴,tertiary,40.0,229.827,"LINESTRING (59.5113648 36.3703341, 59.5117029 36.3699518, 59.5118521 36.3698144, 59.5120247 36.3697199, 59.5122121 36.3696666, 59.5124578 36.3696537, 59.5126885 36.3696783, 59.5128945 36.3697475, 59.513002 36.3698016, 59.5131785 36.3698904, 59.5133338 36.3699685, 59.5134438 36.3700239)",100.5,,,,,
456,281959793,278777044,0,191352083,False,حجاب ۵۴,tertiary,40.0,127.62,"LINESTRING (59.5134438 36.3700239, 59.5146405 36.3706474)",57.1,,,,,
457,281959793,281959689,0,25850112,False,حجاب ۵۴,tertiary,40.0,229.827,"LINESTRING (59.5134438 36.3700239, 59.5133338 36.3699685, 59.5131785 36.3698904, 59.513002 36.3698016, 59.5128945 36.3697475, 59.5126885 36.3696783, 59.5124578 36.3696537, 59.5122121 36.3696666, 59.5120247 36.3697199, 59.5118521 36.3698144, 59.5117029 36.3699518, 59.5113648 36.3703341)",280.5,,,,,
458,281959793,287282131,0,26235620,False,حجاب ۴۶/۲,residential,30.0,121.87,"LINESTRING (59.5134438 36.3700239, 59.5136844 36.3697931, 59.5139676 36.3694821, 59.5142329 36.3691333)",144.5,,,,,
459,281959793,287283102,0,26235620,False,حجاب ۴۶/۲,residential,30.0,151.897,"LINESTRING (59.5134438 36.3700239, 59.5130407 36.3704289, 59.5123963 36.3710984)",321.9,,,,,
460,281960212,5501748092,0,26235918,False,حجاب ۶۴/۱,residential,,51.071,"LINESTRING (59.5111264 36.3721249, 59.5107747 36.3724865)",321.9,,,,,
461,281960212,281959072,0,25850157,False,,tertiary,40.0,179.162,"LINESTRING (59.5111264 36.3721249, 59.510916 36.3719895, 59.5108586 36.3719526, 59.5107127 36.3717729, 59.510644 36.371531, 59.510644 36.3713306, 59.5107546 36.3711219, 59.5107656 36.3711084, 59.5110583 36.37075)",182.3,,,,,
462,281960212,281960213,0,191352069,False,حجاب ۵۸,tertiary,40.0,33.499,"LINESTRING (59.5111264 36.3721249, 59.5113171 36.3722389, 59.5114268 36.3723045)",53.4,,,,,
463,281960213,2449871029,0,191352069,False,حجاب ۵۸,tertiary,40.0,97.311,"LINESTRING (59.5114268 36.3723045, 59.5122587 36.3728677)",49.9,,,,,
464,281960213,5501748076,0,572691727,False,,residential,,75.01,"LINESTRING (59.5114268 36.3723045, 59.5118641 36.3717291)",148.5,,,,,
465,281960213,281960212,0,191352069,False,حجاب ۵۸,tertiary,40.0,33.499,"LINESTRING (59.5114268 36.3723045, 59.5113171 36.3722389, 59.5111264 36.3721249)",233.4,,,,,
466,281960328,287287966,0,191352082,False,حجاب ۶۰,residential,30.0,136.069,"LINESTRING (59.5110876 36.3745827, 59.5098126 36.3739167)",237.0,,,,,
467,281960328,2449871165,0,237038670,False,,secondary_link,,11.174,"LINESTRING (59.5110876 36.3745827, 59.5111923 36.3746374)",57.0,,,,,
468,281960328,2449871029,0,708960190,True,بولوار حجاب,secondary,50.0,220.825,"LINESTRING (59.5110876 36.3745827, 59.5113451 36.373916, 59.5114228 36.3737808, 59.511627 36.3734868, 59.5118053 36.3732883, 59.5122587 36.3728677)",151.2,,,,,
469,283349209,2449870585,0,25974351,False,ادیب ۴۶/۴,residential,30.0,70.318,"LINESTRING (59.5268453 36.3675004, 59.5261806 36.3671636)",237.8,,,,,
470,283349209,2449870625,0,595358539,False,ادیب ۴۶/۳,residential,30.0,69.533,"LINESTRING (59.5268453 36.3675004, 59.5274981 36.3678391)",57.2,,,,,
471,283349209,5674452809,0,25974350,False,دکترحسابی ۵۷,residential,30.0,76.582,"LINESTRING (59.5268453 36.3675004, 59.5266721 36.36772, 59.5263868 36.3680818)",327.6,,,,,
472,283349209,2449870580,0,25974350,False,دکترحسابی ۵۷,residential,30.0,89.883,"LINESTRING (59.5268453 36.3675004, 59.5270902 36.3671898, 59.5273834 36.366818)",147.6,,,,,
473,283349248,2449870709,0,237038738,False,ادیب ۵۰/۳,residential,30.0,49.414,"LINESTRING (59.5288776 36.3685301, 59.5293467 36.3687642)",58.2,,,,,
474,283349248,6479831157,0,595358542,False,ادیب ۵۰/۴,residential,30.0,67.959,"LINESTRING (59.5288776 36.3685301, 59.5282331 36.3682073)",238.1,,,,,
475,283349248,2449870722,0,25974353,False,ادیب ۵۰,residential,30.0,52.731,"LINESTRING (59.5288776 36.3685301, 59.5286911 36.3687724, 59.5285674 36.3689332)",328.2,,,,,
476,283349248,2449870629,0,25974353,False,ادیب ۵۰,residential,30.0,90.025,"LINESTRING (59.5288776 36.3685301, 59.529112 36.3682255, 59.5294072 36.3678419)",148.2,,,,,
477,283349300,2449870722,0,25974353,False,ادیب ۵۰,residential,30.0,8.03,"LINESTRING (59.5285202 36.3689946, 59.5285674 36.3689332)",148.2,,,,,
478,283349300,283349302,0,25974357,False,,residential,30.0,18.363,"LINESTRING (59.5285202 36.3689946, 59.5284492 36.3690458, 59.5284251 36.3690848, 59.5284364 36.3691287)",333.3,,,,,
479,283349300,283349302,1,25974357,False,,residential,30.0,29.538,"LINESTRING (59.5285202 36.3689946, 59.52856 36.3690886, 59.5285384 36.3691541, 59.5284793 36.3691646, 59.5284364 36.3691287)",333.3,,,,,
480,283349302,283349300,0,25974357,False,,residential,30.0,29.538,"LINESTRING (59.5284364 36.3691287, 59.5284793 36.3691646, 59.5285384 36.3691541, 59.52856 36.3690886, 59.5285202 36.3689946)",153.3,,,,,
481,283349302,283349300,1,25974357,False,,residential,30.0,18.363,"LINESTRING (59.5284364 36.3691287, 59.5284251 36.3690848, 59.5284492 36.3690458, 59.5285202 36.3689946)",153.3,,,,,
482,283349302,6479831154,0,"[595358544, 237038702]",False,ادیب ۵۰/۱۰,residential,30.0,69.67999999999999,"LINESTRING (59.5284364 36.3691287, 59.5278529 36.3688548, 59.5279074 36.3687846)",231.1,,,,,
483,283349308,5674452809,0,25974350,False,دکترحسابی ۵۷,residential,30.0,34.533,"LINESTRING (59.5261801 36.368344, 59.5263868 36.3680818)",147.6,,,,,
484,283349308,4609272942,0,494449671,True,بولوار دکتر حسابی,secondary,40.0,418.398,"LINESTRING (59.5261801 36.368344, 59.5264853 36.3684654, 59.5268305 36.3686186, 59.5274701 36.3689614, 59.5277971 36.36917, 59.5281396 36.3694234, 59.5285522 36.3697287, 59.5290237 36.3700893, 59.5298047 36.3706866)",51.2,2,,,,
485,283349336,278776314,0,25974363,False,شهید امام دوست ۱۰,residential,30.0,124.822,"LINESTRING (59.5309777 36.3657933, 59.5321381 36.3664154)",56.3,,,,,
486,283349336,724121825,0,191350373,False,ادیب ۵۱,residential,30.0,10.993,"LINESTRING (59.5309777 36.3657933, 59.5310404 36.3657083)",149.3,,,,,
487,283349336,5674452766,0,25974379,False,ادیب ۵۱,residential,30.0,63.916,"LINESTRING (59.5309777 36.3657933, 59.5307594 36.3660763, 59.5306011 36.3662816)",328.2,,,,,
488,283349477,5674452803,0,25974373,False,شاهد ۶۴,residential,30.0,71.471,"LINESTRING (59.5287461 36.365268, 59.5291416 36.3647097)",150.3,,,,,
489,283349477,283349691,0,191350381,False,شاهد ۶۶/۲,residential,30.0,15.385,"LINESTRING (59.5287461 36.365268, 59.528601 36.3651939)",237.6,,,,,
490,283349477,5674452806,0,191350381,False,شاهد ۶۶/۲,residential,30.0,28.803,"LINESTRING (59.5287461 36.365268, 59.5289778 36.3653579, 59.5290402 36.365371)",66.5,,,,,
491,283349483,4770524527,0,191350373,False,ادیب ۵۱,residential,30.0,48.83,"LINESTRING (59.5317613 36.3647304, 59.5314829 36.365108)",329.3,,,,,
492,283349483,5463136671,0,567592319,True,,residential,,59.508,"LINESTRING (59.5317613 36.3647304, 59.5317203 36.3647359, 59.5316795 36.3647298, 59.5316437 36.3647128, 59.5316173 36.364687, 59.5316035 36.3646554, 59.5316039 36.364622, 59.5316184 36.3645907, 59.5316454 36.3645652, 59.5316816 36.3645488, 59.5317226 36.3645433, 59.5317634 36.3645494, 59.5317992 36.3645664, 59.5318256 36.3645922, 59.5318394 36.3646238, 59.531839 36.3646572, 59.5318244 36.3646885)",129.5,,,,roundabout,
493,283349557,283349560,0,25974384,False,,residential,30.0,32.612,"LINESTRING (59.5318446 36.364176, 59.5314825 36.3642075)",276.2,,,,,
494,283349560,283349557,0,25974384,False,,residential,30.0,32.612,"LINESTRING (59.5314825 36.3642075, 59.5318446 36.364176)",96.2,,,,,
495,283349560,5674452802,0,25974384,False,,residential,30.0,116.886,"LINESTRING (59.5314825 36.3642075, 59.5313382 36.3642313, 59.5309691 36.3642866, 59.5304885 36.3643419, 59.530193 36.3643672)",278.7,,,,,
496,283349560,283349658,0,25974386,False,,residential,30.0,86.49700000000001,"LINESTRING (59.5314825 36.3642075, 59.5316399 36.3642809, 59.5316657 36.3643501, 59.5316528 36.3644263, 59.5314407 36.3646834, 59.5312451 36.3646104)",334.6,,,,,
497,283349658,283349560,0,25974386,False,,residential,30.0,86.49700000000001,"LINESTRING (59.5312451 36.3646104, 59.5314407 36.3646834, 59.5316528 36.3644263, 59.5316657 36.3643501, 59.5316399 36.3642809, 59.5314825 36.3642075)",154.6,,,,,
498,283349691,5674452749,0,25974391,False,اندیشه ۴۱,residential,30.0,56.734,"LINESTRING (59.528601 36.3651939, 59.5280633 36.364924)",238.1,,,,,
499,283349691,283349477,0,191350381,False,شاهد ۶۶/۲,residential,30.0,15.385,"LINESTRING (59.528601 36.3651939, 59.5287461 36.365268)",57.6,,,,,
500,283349691,5674452768,0,25974394,False,ادیب ۴۷,residential,30.0,49.505,"LINESTRING (59.528601 36.3651939, 59.5283607 36.3655057, 59.5283095 36.3655722)",328.2,,,,,
501,283349772,2449870713,0,494449669,True,بولوار دکتر حسابی,secondary,40.0,17.227,"LINESTRING (59.5273799 36.369069, 59.5272202 36.3689826)",236.1,2,,,,
502,283349772,8968611797,0,969252958,True,مشکینی,tertiary,40.0,25.374,"LINESTRING (59.5273799 36.369069, 59.5273013 36.3690912, 59.5271345 36.3691802)",299.4,,,,,
503,283350009,2449870504,0,968701845,True,بولوار دکتر حسابی,secondary,40.0,155.69,"LINESTRING (59.5149089 36.3657549, 59.513244 36.3653511)",253.2,3,,,,
504,283350009,283350102,0,969252951,False,,secondary_link,,13.082,"LINESTRING (59.5149089 36.3657549, 59.51495 36.365642)",163.7,,,,,
505,283350013,725020791,0,88725793,False,راستی,residential,30.0,35.398,"LINESTRING (59.5101193 36.36462, 59.5098325 36.3648391)",313.5,,,,,
506,283350013,2449870394,0,65411109,True,بولوار دکتر حسابی,secondary,40.0,217.661,"LINESTRING (59.5101193 36.36462, 59.5097579 36.3644693, 59.5092947 36.3642596, 59.5080399 36.3636089)",238.9,3,,,,
507,283350019,8948064027,0,84894260,True,دکتر حسابی شمالی,tertiary,40.0,31.866,"LINESTRING (59.506588 36.3628677, 59.5062809 36.3627229)",239.7,,,,,
508,283350019,676994745,0,968402304,True,بولوار شهید فلاحی,secondary,50.0,13.835,"LINESTRING (59.506588 36.3628677, 59.5066683 36.3627614)",148.7,,,,,
509,283350102,283350009,0,969252951,False,,secondary_link,,13.082,"LINESTRING (59.51495 36.365642, 59.5149089 36.3657549)",343.7,,,,,
510,283350102,2449870544,0,968701847,True,بولوار دکتر حسابی,secondary,40.0,302.861,"LINESTRING (59.51495 36.365642, 59.5158452 36.3658528, 59.5165015 36.3660073, 59.5180873 36.3663805, 59.5181965 36.3664064)",73.7,3,,,,
511,283350244,6479833696,0,191352071,False,اندیشه ۶۰,residential,30.0,90.546,"LINESTRING (59.520543 36.3705002, 59.519548 36.3703546)",259.7,,,,,
512,283350244,283350264,0,25974435,False,حجاب ۶۹/۶,residential,30.0,98.496,"LINESTRING (59.520543 36.3705002, 59.5207381 36.3701198, 59.5209269 36.3696706)",159.6,,,,,
513,283350244,5501842354,0,191352071,False,اندیشه ۶۰,residential,30.0,128.275,"LINESTRING (59.520543 36.3705002, 59.5217222 36.3706728, 59.5219526 36.3707065)",79.7,,,,,
514,283350244,6479833698,0,595376703,False,حجاب ۷۵/۵,residential,30.0,64.66900000000001,"LINESTRING (59.520543 36.3705002, 59.5202918 36.3708385, 59.520166 36.3709962)",328.5,,,,,
515,283350248,5501853060,0,52613548,False,اندیشه 64_شهید آبشناس,tertiary,30.0,64.447,"LINESTRING (59.5192039 36.3722683, 59.5198114 36.3725792)",57.6,,,,,
516,283350248,6479833694,0,595376703,False,حجاب ۷۵/۵,residential,30.0,67.247,"LINESTRING (59.5192039 36.3722683, 59.5195806 36.3717451)",149.9,,,,,
517,283350248,668278662,0,26235782,False,,residential,30.0,203.03,"LINESTRING (59.5192039 36.3722683, 59.5190399 36.3724539, 59.5187264 36.3728086, 59.5185561 36.372944, 59.518355 36.3730486, 59.5181317 36.3731179, 59.5178955 36.3731491, 59.5176486 36.3731571, 59.5174155 36.3731125)",300.4,,,,,
518,283350248,283350679,0,52613548,False,اندیشه 64_شهید آبشناس,tertiary,30.0,119.843,"LINESTRING (59.5192039 36.3722683, 59.5186072 36.3721294, 59.5179008 36.3720286)",257.1,,,,,
519,283350263,283350264,0,25974435,False,حجاب ۶۹/۶,residential,30.0,103.869,"LINESTRING (59.5212511 36.3687737, 59.5209269 36.3696706)",343.8,,,,,
520,283350263,6479831175,0,25974435,False,حجاب ۶۹/۶,residential,30.0,72.304,"LINESTRING (59.5212511 36.3687737, 59.5214799 36.3681501)",163.5,,,,,
521,283350263,7041648096,0,26235741,False,حجاب ۶۹,residential,30.0,123.063,"LINESTRING (59.5212511 36.3687737, 59.5199312 36.368465)",253.8,,,,,
522,283350263,287283645,0,191352072,False,اندیشه ۵۶,residential,30.0,85.669,"LINESTRING (59.5212511 36.3687737, 59.5221833 36.3689473)",77.0,,,,,
523,283350264,283350263,0,25974435,False,حجاب ۶۹/۶,residential,30.0,103.869,"LINESTRING (59.5209269 36.3696706, 59.5212511 36.3687737)",163.8,,,,,
524,283350264,6479831166,0,690621597,False,,residential,,52.615,"LINESTRING (59.5209269 36.3696706, 59.5214952 36.369791)",75.3,,,,,
525,283350264,7041648097,0,753671751,False,حجاب ۶۹/۴,residential,,123.147,"LINESTRING (59.5209269 36.3696706, 59.5196182 36.3693299)",252.1,,,,,
526,283350264,283350244,0,25974435,False,حجاب ۶۹/۶,residential,30.0,98.496,"LINESTRING (59.5209269 36.3696706, 59.5207381 36.3701198, 59.520543 36.3705002)",339.6,,,,,
527,283350679,287283780,0,26235765,False,حجاب ۷۵/۳,residential,30.0,120.024,"LINESTRING (59.5179008 36.3720286, 59.5181378 36.3709662)",169.8,,,,,
528,283350679,283350684,0,52613548,False,اندیشه 64_شهید آبشناس,tertiary,30.0,189.677,"LINESTRING (59.5179008 36.3720286, 59.5172135 36.3718979, 59.5165623 36.3716781, 59.5159647 36.3713751)",247.3,,,,,
529,283350679,283350248,0,52613548,False,اندیشه 64_شهید آبشناس,tertiary,30.0,119.843,"LINESTRING (59.5179008 36.3720286, 59.5186072 36.3721294, 59.5192039 36.3722683)",77.1,,,,,
530,283350684,287283845,0,595376702,False,حجاب ۷۵/۱,residential,30.0,88.738,"LINESTRING (59.5159647 36.3713751, 59.5165143 36.370711)",146.3,,,,,
531,283350684,287283985,0,595376704,False,حجاب ۷۵/۲,residential,30.0,92.82,"LINESTRING (59.5159647 36.3713751, 59.5154028 36.3720766)",327.2,,,,,
532,283350684,283350679,0,52613548,False,اندیشه 64_شهید آبشناس,tertiary,30.0,189.677,"LINESTRING (59.5159647 36.3713751, 59.5165623 36.3716781, 59.5172135 36.3718979, 59.5179008 36.3720286)",67.3,,,,,
533,283350684,278776907,0,191352081,False,حجاب ۷۵,tertiary,30.0,133.02499999999998,"LINESTRING (59.5159647 36.3713751, 59.5154161 36.3710784, 59.5147313 36.3707081)",236.1,,,,,
534,286919224,260629928,0,672171771,True,,secondary,,197.009,"LINESTRING (59.5486624 36.3476844, 59.5475745 36.3482572, 59.547252 36.348419, 59.547083 36.348533, 59.5468679 36.348701)",305.1,,,,,
535,287250460,892621841,0,52613531,True,بولوار شهید فلاحی,secondary,50.0,278.928,"LINESTRING (59.4889825 36.3571953, 59.4898078 36.3576337, 59.490583 36.3580461, 59.4915818 36.3585775)",56.6,,,,,
536,287256372,287566423,0,722870261,False,فلاحی ۱۹ + حسابی شمالی ۲۲,residential,30.0,71.887,"LINESTRING (59.4999891 36.36298, 59.5004223 36.3624357)",147.3,,,,,
537,287256372,703733625,0,52613531,True,بولوار شهید فلاحی,secondary,50.0,377.024,"LINESTRING (59.4999891 36.36298, 59.5007093 36.3633606, 59.5011867 36.3636129, 59.5018232 36.363967, 59.501998 36.3640497, 59.5025146 36.3643064, 59.5029116 36.3644409, 59.5033855 36.3645381, 59.5036605 36.3645392)",62.2,,,,,
538,287256419,287256420,0,967197973,True,بولوار شهید فلاحی,secondary,50.0,17.151,"LINESTRING (59.507456 36.3593536, 59.5074821 36.3592008)",172.2,,,,,
539,287256419,278228414,0,25530060,True,بولوار شاهد,primary,60.0,227.069,"LINESTRING (59.507456 36.3593536, 59.5071525 36.3593459, 59.5067335 36.35933, 59.5060332 36.3592509, 59.5053739 36.3591377, 59.5049593 36.3590418)",261.2,,,,,
540,287256420,287256425,0,965864646,True,بولوار شاهد,primary,60.0,12.0,"LINESTRING (59.5074821 36.3592008, 59.5076161 36.3592015)",89.6,,,,,
541,287256420,3850794765,0,965864647,True,بولوار شهید فلاحی,secondary,50.0,27.017000000000003,"LINESTRING (59.5074821 36.3592008, 59.5074936 36.3591238, 59.5075112 36.358959)",174.5,,,,,
542,287256425,287256602,0,965864636,True,بولوار شهید فلاحی,secondary,50.0,17.389,"LINESTRING (59.5076161 36.3592015, 59.5075967 36.3593571)",354.3,,,,,
543,287256425,8987070441,0,965864646,True,بولوار شاهد,primary,60.0,18.187,"LINESTRING (59.5076161 36.3592015, 59.5078192 36.3592011)",90.1,,,,,
544,287256602,287256419,0,25530060,True,بولوار شاهد,primary,60.0,12.605,"LINESTRING (59.5075967 36.3593571, 59.507456 36.3593536)",268.2,,,,,
545,287256602,3850796859,0,965864636,True,بولوار شهید فلاحی,secondary,50.0,26.991,"LINESTRING (59.5075967 36.3593571, 59.5075885 36.3594019, 59.5075532 36.3595973)",351.7,,,,,
546,287256605,2690228852,0,26256900,False,فلاحی ۶۲,residential,30.0,10.558,"LINESTRING (59.5071832 36.3617847, 59.5070653 36.3617833)",269.2,,,,,
547,287256605,287563940,0,26256900,False,فلاحی ۶۲,residential,30.0,153.119,"LINESTRING (59.5071832 36.3617847, 59.507797 36.3618027, 59.5078606 36.361792, 59.5079522 36.3617363, 59.5084248 36.3611044)",124.2,,,,,
548,287256605,2449870356,0,967197991,True,بولوار شهید فلاحی,secondary,50.0,122.005,"LINESTRING (59.5071832 36.3617847, 59.5071446 36.362, 59.5070887 36.3622721, 59.5070295 36.3624385, 59.5069586 36.3625635, 59.5068563 36.3627076, 59.5067774 36.362818)",342.5,,,,,
549,287256713,1029938476,0,52613530,True,بولوار شهید فلاحی,secondary,50.0,26.965,"LINESTRING (59.5040598 36.364651, 59.5037589 36.3646608)",272.3,,,,,
550,287256713,8948064034,0,88725906,True,,secondary_link,,46.119,"LINESTRING (59.5040598 36.364651, 59.5039428 36.3647302, 59.5038642 36.3647845, 59.5037914 36.3648658, 59.5037248 36.3649596)",318.8,,,,,
551,287256715,287256717,0,52613530,True,بولوار شهید فلاحی,secondary,50.0,25.864,"LINESTRING (59.5036523 36.364658, 59.5033639 36.364645)",266.8,,,,,
552,287256715,703733625,0,56067087,True,,secondary_link,,13.23,"LINESTRING (59.5036523 36.364658, 59.5036605 36.3645392)",176.8,,,,,
553,287256717,301884077,0,52613530,True,بولوار شهید فلاحی,secondary,50.0,262.562,"LINESTRING (59.5033639 36.364645, 59.5028603 36.364545, 59.5024433 36.3644015, 59.5019285 36.3641589, 59.5017535 36.3640765, 59.5007811 36.3635658)",242.6,,,,,
554,287256723,5198889833,0,52613530,True,بولوار شهید فلاحی,secondary,50.0,45.209,"LINESTRING (59.5000133 36.363158, 59.4995892 36.3629374)",237.1,,,,,
555,287256723,301883934,0,536750298,True,,tertiary,40.0,59.582,"LINESTRING (59.5000133 36.363158, 59.4998569 36.3632348, 59.4995386 36.3635265)",313.9,,,,,
556,287256953,2024828291,0,27108192,False,فلاحی ۶۷,residential,30.0,66.65,"LINESTRING (59.50717 36.3532056, 59.5064262 36.3532262)",272.0,,,,,
557,287256953,2196461627,0,964338611,True,بولوار شهید فلاحی,secondary,50.0,105.603,"LINESTRING (59.50717 36.3532056, 59.5071153 36.3528166, 59.5071092 36.3526937, 59.5070962 36.3522586)",183.6,,,,,
558,287257252,297427489,0,191355129,False,فلاحی ۹۶,residential,30.0,130.894,"LINESTRING (59.5073247 36.3532062, 59.5087812 36.3531078)",94.8,,,,,
559,287257252,2024844621,0,965864636,True,بولوار شهید فلاحی,secondary,50.0,81.866,"LINESTRING (59.5073247 36.3532062, 59.5074396 36.3539366)",7.2,,,,,
560,287257747,2449869878,0,27108191,False,شریعتی ۳۹,residential,30.0,5.157,"LINESTRING (59.5034392 36.3559786, 59.5034536 36.3560235)",14.5,,,,,
561,287257747,2449869874,0,27108191,False,شریعتی ۳۹,residential,30.0,5.994,"LINESTRING (59.5034392 36.3559786, 59.5034292 36.3559253)",188.6,,,,,
562,287257747,297427314,0,27108201,False,شریعتی ۳۹/۲۲,residential,30.0,69.043,"LINESTRING (59.5034392 36.3559786, 59.5026857 36.3561101)",282.2,,,,,
563,287257751,2810726753,0,729788311,False,استاد یوسفی ۸ - شاهد ۵۹,residential,30.0,34.488,"LINESTRING (59.5092752 36.3559072, 59.5092631 36.3562172)",358.2,,,,,
564,287257751,2449869868,0,237038595,True,استاد یوسفی,tertiary,40.0,131.815,"LINESTRING (59.5092752 36.3559072, 59.5089897 36.3558526, 59.5086563 36.3558191, 59.5083161 36.3558109, 59.5078141 36.3558213)",265.8,,,,,
565,287257807,6610549649,0,594589345,False,یوسفی ۲۵,residential,,36.278,"LINESTRING (59.5216999 36.3567897, 59.5219264 36.3565192)",146.0,,,,,
566,287257807,2449869967,0,26233235,True,بولوار دکتر یوسفی,tertiary,40.0,105.509,"LINESTRING (59.5216999 36.3567897, 59.5218118 36.3568243, 59.5220921 36.356911, 59.5224747 36.3570513, 59.5227486 36.3571685, 59.5227725 36.3571795)",65.7,,,,,
567,287258302,2631664469,0,27108232,False,یوسفی ۲۳,residential,30.0,32.891,"LINESTRING (59.5203246 36.356519, 59.5204378 36.3562376)",162.0,,,,,
568,287258302,2449869932,0,191354173,False,,residential,,8.938,"LINESTRING (59.5203246 36.356519, 59.5202981 36.3565965)",344.6,,,,,
569,287258302,287257807,0,26233235,True,بولوار دکتر یوسفی,tertiary,40.0,126.973,"LINESTRING (59.5203246 36.356519, 59.5206207 36.3565602, 59.5209137 36.3566089, 59.5213109 36.3566871, 59.5216999 36.3567897)",76.3,,,,,
570,287258313,2449869967,0,191354176,False,,tertiary_link,,9.295,"LINESTRING (59.5227001 36.3572394, 59.5227725 36.3571795)",135.8,,,,,
571,287258313,297428071,0,27108245,False,یوسفی ۲۰,residential,30.0,229.618,"LINESTRING (59.5227001 36.3572394, 59.5223354 36.3575465, 59.5222421 36.3575915, 59.5218777 36.3577672, 59.5217425 36.3578324, 59.5206104 36.3584179)",305.0,,,,,
572,287258313,2449869932,0,237038545,True,بولوار دکتر یوسفی,tertiary,40.0,227.897,"LINESTRING (59.5227001 36.3572394, 59.5224303 36.3571239, 59.5220921 36.3569999, 59.5220532 36.3569856, 59.5219038 36.3569394, 59.5216662 36.3568659, 59.5212833 36.3567649, 59.5208917 36.3566878, 59.520602 36.3566397, 59.5202981 36.3565965)",251.6,,,,,
573,287258317,2196461734,0,26986046,False,یوسفی ۲۴,residential,30.0,40.55,"LINESTRING (59.5258504 36.3589096, 59.5256174 36.3592223)",329.0,,,,,
574,287258317,2449870137,0,237038671,False,,tertiary_link,,9.012,"LINESTRING (59.5258504 36.3589096, 59.5259088 36.3588436)",144.5,,,,,
575,287258317,2449870118,0,964338618,True,بولوار دکتر یوسفی,tertiary,40.0,127.691,"LINESTRING (59.5258504 36.3589096, 59.5255394 36.358695, 59.5252255 36.3585122, 59.5246994 36.3582345)",233.9,,,,,
576,287258323,2449870231,0,191348754,False,استاد یوسفی ۳۰,residential,30.0,57.03,"LINESTRING (59.5279007 36.3611994, 59.5275649 36.3616352)",328.2,,,,,
577,287258323,2449870202,0,237038637,False,,tertiary_link,,9.296,"LINESTRING (59.5279007 36.3611994, 59.5279561 36.3611287)",147.7,,,,,
578,287258323,287258317,0,964338618,True,بولوار دکتر یوسفی,tertiary,40.0,315.39300000000003,"LINESTRING (59.5279007 36.3611994, 59.5276527 36.3609831, 59.5274048 36.360728, 59.5271872 36.360456, 59.5268073 36.3599071, 59.5267943 36.3598884, 59.5266324 36.3596716, 59.5264599 36.3594615, 59.5261749 36.3591714, 59.5258504 36.3589096)",215.8,,,,,
579,287258328,5669113765,0,26233632,False,شهید حسن پور - شاهد ۷۹,residential,30.0,48.027,"LINESTRING (59.5307375 36.3625561, 59.5304612 36.3629263)",329.0,,,,,
580,287258328,5669069686,0,711244200,False,شهید حسن پور,residential,30.0,25.479,"LINESTRING (59.5307375 36.3625561, 59.5308897 36.3623625)",147.7,,,,,
581,287258328,278232277,0,191350389,False,اندیشه ۲۷,tertiary,40.0,143.086,"LINESTRING (59.5307375 36.3625561, 59.530068 36.3623142, 59.5293127 36.3619761)",243.2,,,,,
582,287258328,287258337,0,191350391,False,دکتر یوسفی,tertiary,40.0,296.997,"LINESTRING (59.5307375 36.3625561, 59.5311495 36.3627009, 59.5315535 36.3627678, 59.5320628 36.3627918, 59.5327414 36.3628041, 59.5331064 36.3628361, 59.533413 36.3629211, 59.5336727 36.3630108, 59.5339275 36.3631255)",77.5,,,,,
583,287258337,5669113747,0,191350390,False,یوسفی ۴۵ + اندیشه ۱۹/۱۰,residential,30.0,25.03,"LINESTRING (59.5339275 36.3631255, 59.5340774 36.3629355)",147.6,,,,,
584,287258337,287258338,0,191350391,False,دکتر یوسفی,tertiary,40.0,99.758,"LINESTRING (59.5339275 36.3631255, 59.5348617 36.3636143)",57.0,,,,,
585,287258337,6780689389,0,435544657,False,یوسفی ۴۲,residential,,39.369,"LINESTRING (59.5339275 36.3631255, 59.5336948 36.3634259)",328.0,,,,,
586,287258337,287258328,0,191350391,False,دکتر یوسفی,tertiary,40.0,296.997,"LINESTRING (59.5339275 36.3631255, 59.5336727 36.3630108, 59.533413 36.3629211, 59.5331064 36.3628361, 59.5327414 36.3628041, 59.5320628 36.3627918, 59.5315535 36.3627678, 59.5311495 36.3627009, 59.5307375 36.3625561)",257.5,,,,,
587,287258338,5669113754,0,27497709,True,شهید کرد نوغانی,tertiary,40.0,36.151,"LINESTRING (59.5348617 36.3636143, 59.5351112 36.3633587)",141.8,,,,,
588,287258338,287258337,0,191350391,False,دکتر یوسفی,tertiary,40.0,99.758,"LINESTRING (59.5348617 36.3636143, 59.5339275 36.3631255)",237.0,,,,,
589,287263624,5669113773,0,26233632,False,شهید حسن پور - شاهد ۷۹,residential,30.0,66.927,"LINESTRING (59.5295851 36.3641005, 59.5299701 36.3635846)",149.0,,,,,
590,287263624,2249333704,0,965864645,True,بولوار شاهد,primary,60.0,384.848,"LINESTRING (59.5295851 36.3641005, 59.5299745 36.3641206, 59.5303185 36.3641106, 59.5306516 36.3640728, 59.5313459 36.3639695, 59.5317618 36.3639318, 59.5322028 36.3639431, 59.5324858 36.3639796, 59.532833 36.3640363, 59.5331895 36.3641345, 59.5335241 36.364278, 59.533745 36.3643953)",85.0,,,,,
