,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,lanes,ref,bridge,junction,width
65,264638573,667854418,0,52566457,False,پیامبراعظم 67,residential,,327.299,"LINESTRING (59.5168081 36.3870396, 59.5191374 36.3893085)",39.6,,,,,
66,264638573,264638577,0,665588544,True,بزرگراه پیامبر اعظم,trunk,80.0,229.123,"LINESTRING (59.5168081 36.3870396, 59.5164824 36.3872774, 59.5159887 36.3875765, 59.5153356 36.3879503, 59.5147248 36.3882267)",305.3,3,22.0,,,
67,264638577,667854410,0,52566460,False,پیامبراعظم 69,residential,,170.193,"LINESTRING (59.5147248 36.3882267, 59.5156942 36.3895434)",30.7,,,,,
68,264638577,264638578,0,665588544,True,بزرگراه پیامبر اعظم,trunk,80.0,99.717,"LINESTRING (59.5147248 36.3882267, 59.5137347 36.3886377)",297.3,3,22.0,,,
69,264638578,667854403,0,52566462,False,پیامبر اعظم ۷۱,secondary,,99.876,"LINESTRING (59.5137347 36.3886377, 59.5142148 36.3894485)",25.5,,,,,
70,264638578,264638580,0,665588544,True,بزرگراه پیامبر اعظم,trunk,80.0,248.66,"LINESTRING (59.5137347 36.3886377, 59.5112461 36.3896314)",296.4,3,22.0,,,
71,264638580,667854369,0,52566471,False,73 پیامبراعظم,residential,,103.312,"LINESTRING (59.5112461 36.3896314, 59.5117633 36.390462)",26.6,,,,,
72,264638580,264638581,0,665588544,True,بزرگراه پیامبر اعظم,trunk,80.0,295.92600000000004,"LINESTRING (59.5112461 36.3896314, 59.510604 36.389899, 59.5083101 36.3908548)",297.4,3,22.0,,,
73,264638581,667854366,0,52566463,False,پیامبراعظم 75,residential,,99.07,"LINESTRING (59.5083101 36.3908548, 59.5088596 36.3916282)",29.8,,,,,
74,264638581,264638582,0,665588544,True,بزرگراه پیامبر اعظم,trunk,80.0,289.799,"LINESTRING (59.5083101 36.3908548, 59.506598 36.3915388, 59.50541 36.3920134)",296.4,3,22.0,,,
75,264638582,667854383,0,52566464,False,پیامبر اعظم 77,residential,,99.787,"LINESTRING (59.50541 36.3920134, 59.5059002 36.3928194)",26.1,,,,,
76,264638582,264638583,0,665588544,True,بزرگراه پیامبر اعظم,trunk,80.0,298.9,"LINESTRING (59.50541 36.3920134, 59.5024202 36.3932107)",296.5,3,22.0,,,
77,264638583,6188234112,0,52566452,False,آزادی ۱۳۳ - پیامبر اعظم 79,residential,,170.661,"LINESTRING (59.5024202 36.3932107, 59.5033105 36.3945679)",27.8,,,,,
78,264638583,7994125451,0,665588544,True,بزرگراه پیامبر اعظم,trunk,80.0,106.558,"LINESTRING (59.5024202 36.3932107, 59.5013524 36.3936344)",296.2,3,22.0,,,
79,264639247,6935823829,0,"[965706357, 965706356, 24015397]",True,بزرگراه پیامبر اعظم,trunk,80.0,390.852,"LINESTRING (59.5241217 36.379848, 59.525542 36.3784293, 59.5261201 36.3778728, 59.526891 36.3771308)",140.6,3,22.0,,,
80,264639260,4628178390,0,468285862,True,,trunk_link,,140.82999999999998,"LINESTRING (59.5330252 36.371039, 59.5332894 36.3704421, 59.5335433 36.3698432)",160.8,,,,,
81,264639260,4611705428,0,644259988,True,بزرگراه پیامبر اعظم,trunk,80.0,1305.629,"LINESTRING (59.5330252 36.371039, 59.5335794 36.3703083, 59.5337081 36.3701066, 59.5343225 36.3690971, 59.5356042 36.3669357, 59.5360611 36.3661597, 59.537491 36.3637713, 59.538426 36.3621956, 59.5385678 36.361954, 59.5389966 36.3612234, 59.5394334 36.3604965)",153.9,3,22.0,,,
82,265561598,260593901,0,24029580,False,امام هادی,secondary,50.0,58.071,"LINESTRING (59.5467418 36.3585359, 59.5461087 36.3584228)",257.5,,,,,
83,265561598,265561599,0,842368638,False,امام هادی,secondary,50.0,58.896,"LINESTRING (59.5467418 36.3585359, 59.5473839 36.3586506)",77.5,,,,,
84,265561598,9049993073,0,"[52528250, 978057812]",False,"['امام هادی ۱۱', 'حمامی ۱۴']","['living_street', 'residential']",30.0,191.684,"LINESTRING (59.5467418 36.3585359, 59.5464971 36.3593931, 59.5462675 36.3602169)",347.2,,,,,
85,265561598,666065647,0,"[590701730, 52528247]",False,"['پایدار ۱۳', 'امام هادی ۱۲']",residential,30.0,183.244,"LINESTRING (59.5467418 36.3585359, 59.5469485 36.357789, 59.5471869 36.3569274)",167.4,,,,,
86,265561599,667505672,0,52528252,False,امام هادی ۹,residential,30.0,191.921,"LINESTRING (59.5473839 36.3586506, 59.5469185 36.3603354)",347.5,,,,,
87,265561599,265561600,0,842368638,False,امام هادی,secondary,50.0,57.548,"LINESTRING (59.5473839 36.3586506, 59.5480113 36.3587627)",77.5,,,,,
88,265561599,265561598,0,842368638,False,امام هادی,secondary,50.0,58.896,"LINESTRING (59.5473839 36.3586506, 59.5467418 36.3585359)",257.5,,,,,
89,265561599,666065644,0,"[52528249, 590701731]",False,"['پایدار ۱۱', 'امام هادی ۱۰']",residential,30.0,181.357,"LINESTRING (59.5473839 36.3586506, 59.5475843 36.3579315, 59.5478274 36.3570592)",167.4,,,,,
90,265561600,667505677,0,52528259,False,امام هادی ۷,residential,30.0,192.156,"LINESTRING (59.5480113 36.3587627, 59.5475609 36.3604523)",347.9,,,,,
91,265561600,265561601,0,842368638,False,امام هادی,secondary,50.0,59.217,"LINESTRING (59.5480113 36.3587627, 59.5486569 36.358878)",77.5,,,,,
92,265561600,265561599,0,842368638,False,امام هادی,secondary,50.0,57.548,"LINESTRING (59.5480113 36.3587627, 59.5473839 36.3586506)",257.5,,,,,
93,265561600,666065645,0,"[52528251, 590701732]",False,"['پایدار ۹', 'امام هادی ۸']",residential,30.0,178.409,"LINESTRING (59.5480113 36.3587627, 59.5482172 36.358031, 59.5484516 36.3571979)",167.2,,,,,
94,265561601,667505670,0,52528246,False,امام هادی ۵/۱,residential,30.0,192.376,"LINESTRING (59.5486569 36.358878, 59.5481904 36.3605668)",347.5,,,,,
95,265561601,265561602,0,842368638,False,امام هادی,secondary,50.0,57.078,"LINESTRING (59.5486569 36.358878, 59.5492792 36.3589891)",77.5,,,,,
96,265561601,265561600,0,842368638,False,امام هادی,secondary,50.0,59.217,"LINESTRING (59.5486569 36.358878, 59.5480113 36.3587627)",257.5,,,,,
97,265561601,666065660,0,"[590701733, 52528263]",False,"['امام هادی ۶/۱', 'پایدار ۷']",residential,30.0,166.67000000000002,"LINESTRING (59.5486569 36.358878, 59.5488337 36.3581965, 59.5490376 36.3574108)",168.2,,,,,
98,265561602,667505674,0,52528260,False,امام هادی ۵,residential,30.0,192.609,"LINESTRING (59.5492792 36.3589891, 59.5488164 36.3606807)",347.6,,,,,
99,265561602,265561603,0,842368638,False,امام هادی,secondary,50.0,57.998,"LINESTRING (59.5492792 36.3589891, 59.5499115 36.3591021)",77.5,,,,,
100,265561602,265561601,0,842368638,False,امام هادی,secondary,50.0,57.078,"LINESTRING (59.5492792 36.3589891, 59.5486569 36.358878)",257.5,,,,,
101,265561602,666065662,0,"[54611309, 590701734]",False,"['پایدار ۵', 'امام هادی ۶']",residential,30.0,146.59199999999998,"LINESTRING (59.5492792 36.3589891, 59.5494472 36.3583459, 59.5495898 36.3576949)",169.1,,,,,
102,265561603,265561602,0,842368638,False,امام هادی,secondary,50.0,57.998,"LINESTRING (59.5499115 36.3591021, 59.5492792 36.3589891)",257.5,,,,,
103,265561603,687478236,0,"[54611307, 590701735]",False,"['پایدار ۳', 'امام هادی ۴']",residential,30.0,113.154,"LINESTRING (59.5499115 36.3591021, 59.5500602 36.3585624, 59.5501744 36.3581068)",168.0,,,,,
104,265561603,265561604,0,842368638,False,امام هادی,secondary,50.0,59.034000000000006,"LINESTRING (59.5499115 36.3591021, 59.5501646 36.3591473, 59.5504002 36.3591894, 59.5505551 36.3592171)",77.5,,,,,
105,265561604,314760714,0,590888190,False,امام هادی ۳,residential,30.0,210.018,"LINESTRING (59.5505551 36.3592171, 59.5492597 36.3607916)",326.5,,,,,
106,265561604,2563730934,0,590888191,False,خیابان امام هادی,secondary,50.0,40.65,"LINESTRING (59.5505551 36.3592171, 59.5509983 36.3592962)",77.5,,,,,
107,265561604,687478236,0,"[28638907, 590888189]",False,"['پایدار ۱', 'توس ۲۶']",residential,30.0,172.676,"LINESTRING (59.5505551 36.3592171, 59.5510247 36.3586637, 59.5501744 36.3581068)",195.4,,,,,
