,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bearing,junction,access,bridge
2588,611670988,1030607823,0,62364750,False,,فرهنگ ۴۵,residential,30,36.975,"LINESTRING (59.4920384 36.3368865, 59.4918878 36.3365769)",201.4,,,
2589,611670988,611670993,0,542998997,False,,انوشیروانی ۳,residential,30,104.645,"LINESTRING (59.4920384 36.3368865, 59.4931202 36.3365312)",112.2,,,
2590,611670988,1791465691,0,542999001,False,,صدف ۱۴,residential,30,74.963,"LINESTRING (59.4920384 36.3368865, 59.4912816 36.3371743)",295.3,,,
2591,611670989,1030607828,0,93337082,False,,خیابان صدف,tertiary,40,50.687,"LINESTRING (59.4953959 36.3355207, 59.4952005 36.3350929)",200.2,,,
2592,611670989,611670985,0,93337082,False,,خیابان صدف,tertiary,40,4.45,"LINESTRING (59.4953959 36.3355207, 59.4954053 36.33556)",10.9,,,
2593,611670989,1030607803,0,542998994,False,,صدف ۱۲,residential,30,231.028,"LINESTRING (59.4953959 36.3355207, 59.4941167 36.3358707, 59.4929737 36.3362328)",290.1,,,
2594,611670990,1030607843,0,93337082,False,,خیابان صدف,tertiary,40,34.501,"LINESTRING (59.4961609 36.3372901, 59.4960217 36.3370008)",201.2,,,
2595,611670990,1030607850,0,93337082,False,,خیابان صدف,tertiary,40,23.631,"LINESTRING (59.4961609 36.3372901, 59.4962508 36.3374899)",19.9,,,
2596,611670990,1030607806,0,88810201,False,,صدف ۲۰,residential,30,160.995,"LINESTRING (59.4961609 36.3372901, 59.4955346 36.3374359, 59.4944676 36.3377715)",289.4,,,
2597,611670991,611670987,0,69810190,False,,صدف ۱۶,residential,30,221.905,"LINESTRING (59.4957278 36.3364119, 59.493401 36.337097)",290.1,,,
2598,611670991,1030607831,0,93337082,False,,خیابان صدف,tertiary,40,46.637,"LINESTRING (59.4957278 36.3364119, 59.4959252 36.3368)",22.3,,,
2599,611670991,611670986,0,93337082,False,,خیابان صدف,tertiary,40,64.58,"LINESTRING (59.4957278 36.3364119, 59.4956043 36.3361318, 59.4954988 36.3358613)",198.5,,,
2600,611670993,1030607792,0,167787980,False,,معلم ۵۴- انوشیروانی - فرهنگ ۴۳,residential,30,59.093,"LINESTRING (59.4931202 36.3365312, 59.4933628 36.3370254)",21.6,,,
2601,611670993,611670988,0,542998997,False,,انوشیروانی ۳,residential,30,104.645,"LINESTRING (59.4931202 36.3365312, 59.4920384 36.3368865)",292.2,,,
2602,611670993,1030607803,0,542998999,False,,معلم ۵۴- انوشیروانی - فرهنگ ۴۳,residential,30,35.681,"LINESTRING (59.4931202 36.3365312, 59.4929737 36.3362328)",201.6,,,
2603,611670993,611670986,0,62364753,False,,صدف ۱۴,residential,30,225.769,"LINESTRING (59.4931202 36.3365312, 59.494267 36.3361828, 59.4954988 36.3358613)",109.3,,,
2604,611670997,417818204,0,48125908,False,,معلم ۶۳,residential,30,40.655,"LINESTRING (59.4931827 36.3381961, 59.4933894 36.3378706)",152.9,,,
2605,611670997,1791484155,0,93337052,False,,معلم ۶۳/۱,residential,30,115.443,"LINESTRING (59.4931827 36.3381961, 59.4936524 36.3391629)",21.4,,,
2606,611670997,611670999,0,48125908,False,,معلم ۶۳,residential,30,119.677,"LINESTRING (59.4931827 36.3381961, 59.4930205 36.3385654, 59.4929798 36.3387229, 59.4929541 36.3388763, 59.4929865 36.3390441, 59.4930659 36.3392326)",354.8,,,
2607,611670999,1082199996,0,48125908,False,,معلم ۶۳,residential,30,72.257,"LINESTRING (59.4930659 36.3392326, 59.4933839 36.3398298)",23.2,,,
2608,611670999,5028878714,0,514828314,False,,معلم ۶۳/۴,residential,30,93.276,"LINESTRING (59.4930659 36.3392326, 59.4921041 36.3395542)",292.5,,,
2609,611670999,611670997,0,48125908,False,,معلم ۶۳,residential,30,119.677,"LINESTRING (59.4930659 36.3392326, 59.4929865 36.3390441, 59.4929541 36.3388763, 59.4929798 36.3387229, 59.4930205 36.3385654, 59.4931827 36.3381961)",174.8,,,
2610,611671004,1082199996,0,48125908,False,,معلم ۶۳,residential,30,61.53,"LINESTRING (59.4936188 36.3403498, 59.4933839 36.3398298)",200.0,,,
2611,611671004,1082199903,0,93337051,False,,صدف ۲۶,residential,30,50.894,"LINESTRING (59.4936188 36.3403498, 59.4941507 36.3401888)",110.6,,,
2612,611671004,1082200256,0,514828315,True,,,residential,30,41.691,"LINESTRING (59.4936188 36.3403498, 59.493799 36.3406955)",22.8,,,
2613,611671004,7814408148,0,837294479,False,,معلم ۶۳/۶,residential,,83.018,"LINESTRING (59.4936188 36.3403498, 59.4927551 36.3406207)",291.3,,,
2614,611671006,611671010,0,93337090,True,,صدف ۳۰,residential,30,347.642,"LINESTRING (59.4939389 36.3408435, 59.4950272 36.3406366, 59.495484 36.3405872, 59.495727 36.3405731, 59.4964217 36.3405775, 59.4977831 36.3406433)",93.7,,,
2615,611671008,417818081,0,93337064,False,,خیابان صدف,primary_link,,13.383,"LINESTRING (59.4965373 36.3381263, 59.4966125 36.3382303)",30.2,,,
2616,611671008,263267662,0,26232642,True,,بولوار معلم,primary,60,171.24400000000003,"LINESTRING (59.4965373 36.3381263, 59.4969456 36.338047, 59.4973468 36.3379381, 59.4976235 36.3378571, 59.4980079 36.3377431, 59.4981507 36.3376822, 59.498304 36.3375752)",111.2,,,
2617,611671008,1030607850,0,93337082,False,,خیابان صدف,tertiary,40,75.274,"LINESTRING (59.4965373 36.3381263, 59.4964643 36.337964, 59.4962508 36.3374899)",199.9,,,
2618,611671009,1082200290,0,35683866,False,,خیابان صدف,residential,30,33.971,"LINESTRING (59.4970647 36.3391537, 59.4969297 36.3388682)",200.9,,,
2619,611671009,1082199866,0,35683866,False,,خیابان صدف,residential,30,26.106,"LINESTRING (59.4970647 36.3391537, 59.4971668 36.3393736)",20.5,,,
2620,611671009,1082199903,0,93337051,False,,صدف ۲۶,residential,30,293.49,"LINESTRING (59.4970647 36.3391537, 59.494734 36.3398291, 59.4946406 36.3400375, 59.4941507 36.3401888)",293.8,,,
2621,611671010,1082200110,0,35683866,False,,خیابان صدف,residential,30,38.083,"LINESTRING (59.4977831 36.3406433, 59.4976319 36.3403232)",200.8,,,
2622,611671010,1082200168,0,35683866,False,,خیابان صدف,residential,30,9.624,"LINESTRING (59.4977831 36.3406433, 59.4978216 36.3407241)",21.0,,,
2623,643837816,268150695,0,24696075,False,,کوچه جلال آل احمد ۱۱,residential,30,146.824,"LINESTRING (59.5264613 36.3237833, 59.5279895 36.3233063)",111.2,,,
2624,643842468,268150692,0,191060906,False,,کوچه جلال آل احمد ۳,residential,30,144.814,"LINESTRING (59.525429 36.3215809, 59.5269367 36.3211114)",111.1,,,
2625,643842764,268150691,0,24671073,False,,کوچه جلال آل احمد ۱,residential,30,145.662,"LINESTRING (59.5251592 36.3210394, 59.5266786 36.3205732)",110.8,,,
2626,650210476,266143587,0,969484720,True,,میدان دانش آموز,secondary,30,6.857,"LINESTRING (59.5105106 36.329343, 59.5105823 36.3293646)",69.5,roundabout,,
2627,650210477,266622648,0,93337057,True,,بولوار دانش آموز,secondary,50,64.798,"LINESTRING (59.5106483 36.3295898, 59.51067 36.3297615, 59.5107986 36.3300376, 59.5108489 36.3301455)",16.2,,,
2628,650210477,266143583,0,969484742,True,,میدان دانش آموز,secondary,30,23.082,"LINESTRING (59.5106483 36.3295898, 59.5106034 36.3296307, 59.5105068 36.3296644, 59.5104224 36.3296594)",290.9,roundabout,,
2629,650315301,268150792,0,51001557,False,,کوچه جلال آل احمد ۲,residential,30,140.697,"LINESTRING (59.5247962 36.3211548, 59.5233234 36.321594)",290.3,,,
2630,650315303,264160367,0,51001556,False,,کوچه جلال آل احمد ۴,residential,30,141.597,"LINESTRING (59.525068 36.3216998, 59.5235935 36.3221583)",291.1,,,
2631,650315305,268150693,0,51001553,False,,کوچه جلال آل احمد ۷,residential,30,145.315,"LINESTRING (59.525951 36.3226818, 59.5274641 36.322211)",111.1,,,
2632,650315307,268150966,0,191060814,False,,کوچه جلال آل احمد ۸,residential,30,145.425,"LINESTRING (59.5256215 36.3227607, 59.5241105 36.3232386)",291.4,,,
