,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,bearing,name,bridge,geometry,width,ref,tunnel,junction
3591,2640314663,290975409,0,971180982,True,,secondary,50,11.233,210.8,بولوار شهید رستمی,,"LINESTRING (59.6359757 36.269485, 59.6359116 36.2693982)",,,,
3592,2640314665,2640314663,0,258707330,True,,primary_link,,53.032,164.9,,,"LINESTRING (59.6358218 36.2699455, 59.6358987 36.2697109, 59.6359757 36.269485)",,,,
3593,2640314665,267983404,0,382894092,True,,primary,60,40.077,142.0,بولوار مصلی,,"LINESTRING (59.6358218 36.2699455, 59.6360047 36.2697569, 59.6360972 36.2696616)",,,,
3594,2679309913,266626887,0,24518402,False,,residential,30,109.265,32.5,حر ۹۰  + شهید ظفری,,"LINESTRING (59.7150168 36.2481606, 59.7153692 36.2485761, 59.7156711 36.2489889)",,,,
3595,2679309913,266626716,0,24518402,False,,residential,30,133.464,204.3,حر ۹۰  + شهید ظفری,,"LINESTRING (59.7150168 36.2481606, 59.7149687 36.2481086, 59.7144047 36.2470683)",,,,
3596,2679309913,2639744497,0,262266016,False,,residential,30,41.262,113.4,ظفری ۱,,"LINESTRING (59.7150168 36.2481606, 59.7152179 36.2480738, 59.7154376 36.2480136)",,,,
3597,2679309915,2679309917,0,24414532,True,,primary,60,111.896,296.1,بولوار امام رضا,,"LINESTRING (59.7098301 36.2489645, 59.7087094 36.249407)",,22.0,,
3598,2679309915,2639744431,0,258641900,False,,residential,30,99.484,41.0,حر ۸۲ + مهدیه,,"LINESTRING (59.7098301 36.2489645, 59.7105574 36.2496401)",,,,
3599,2679309917,4281833470,0,24414532,True,,primary,60,71.187,296.8,بولوار امام رضا,,"LINESTRING (59.7087094 36.249407, 59.7080011 36.2496961)",,22.0,,
3600,2679309917,2639744430,0,258641901,False,,residential,30,138.91,45.0,حر ۸۰ + نبی اکرم,,"LINESTRING (59.7087094 36.249407, 59.7092453 36.2498683, 59.7098046 36.2502895)",,,,
3601,2679309927,266626889,0,258641954,False,,residential,30,135.978,139.1,موسی ابن جعفر ۱۵ + ظفری ۶,,"LINESTRING (59.7151252 36.2503226, 59.715492 36.2499884, 59.7161174 36.2493979)",,,,
3602,2679309927,2639744591,0,612304097,False,,residential,30,48.756,232.4,حر ۸۶ + موسی ابن جعفر,,"LINESTRING (59.7151252 36.2503226, 59.7149294 36.2501966, 59.7146943 36.2500553)",,,,
3603,2679309927,2639744589,0,612304102,False,,residential,30,237.056,323.3,موسی ابن جعفر ۱۸,,"LINESTRING (59.7151252 36.2503226, 59.714586 36.2509018, 59.7135455 36.252032)",,,,
3604,2679309927,2679309929,0,612304103,False,,residential,30,46.211,48.4,حر ۸۶ + موسی ابن جعفر,,"LINESTRING (59.7151252 36.2503226, 59.7153387 36.2504552, 59.7155095 36.2505978)",,,,
3605,2679309929,2639744451,0,258641923,False,,residential,30,256.58900000000006,321.8,موسی ابن جعفر ۲۰,,"LINESTRING (59.7155095 36.2505978, 59.7153298 36.2507611, 59.714346 36.2517053, 59.7137408 36.2524085)",,,,
3606,2679309929,266626890,0,612304099,False,,residential,30,136.091,137.6,موسی ابن جعفر ۱۷ + ظفری ۸,,"LINESTRING (59.7155095 36.2505978, 59.7159234 36.2501775, 59.7162004 36.2499344, 59.7165304 36.2496964)",,,,
3607,2679309929,2639744597,0,"[612304098, 612304100]",False,,residential,30,70.446,48.8,حر ۸۶ + موسی ابن جعفر,,"LINESTRING (59.7155095 36.2505978, 59.7156053 36.2506677, 59.7159026 36.2509132, 59.7160972 36.2510134)",,,,
3608,2679309929,2679309927,0,612304103,False,,residential,30,46.211,228.4,حر ۸۶ + موسی ابن جعفر,,"LINESTRING (59.7155095 36.2505978, 59.7153387 36.2504552, 59.7151252 36.2503226)",,,,
3609,2679309933,2639744444,0,258641920,False,,residential,30,203.083,138.5,مهدیه ۱۸,,"LINESTRING (59.7126494 36.2540897, 59.7141509 36.2527224)",,,,
3610,2679309933,2679309934,0,258641920,False,,residential,30,38.332,317.7,مهدیه ۱۸,,"LINESTRING (59.7126494 36.2540897, 59.7123616 36.2543446)",,,,
3611,2679309933,2639744440,0,258641909,False,,residential,30,40.828,224.5,حر ۷۶ + چمران,,"LINESTRING (59.7126494 36.2540897, 59.7124663 36.2539596, 59.7123312 36.2538286)",,,,
3612,2679309933,2639744411,0,258641909,False,,residential,30,76.864,57.6,حر ۷۶ + چمران,,"LINESTRING (59.7126494 36.2540897, 59.7130548 36.2543296, 59.713371 36.2544586)",,,,
3613,2679309934,2679309933,0,258641920,False,,residential,30,38.332,137.7,مهدیه ۱۸,,"LINESTRING (59.7123616 36.2543446, 59.7126494 36.2540897)",,,,
3614,2679309934,2639744442,0,258641921,False,,residential,30,41.854,234.1,حر ۷۴,,"LINESTRING (59.7123616 36.2543446, 59.7119834 36.254124)",,,,
3615,2679309934,2679309939,0,258641921,False,,residential,30,84.872,66.2,حر ۷۴,,"LINESTRING (59.7123616 36.2543446, 59.7126031 36.2544704, 59.7132228 36.2546512)",,,,
3616,2679309939,2639744411,0,258641908,False,,residential,30,25.204,148.2,,,"LINESTRING (59.7132228 36.2546512, 59.713371 36.2544586)",,,,
3617,2679309939,2679309941,0,258641921,False,,residential,30,34.072,72.0,حر ۷۴,,"LINESTRING (59.7132228 36.2546512, 59.7135841 36.2547461)",,,,
3618,2679309939,2679309934,0,258641921,False,,residential,30,84.872,246.2,حر ۷۴,,"LINESTRING (59.7132228 36.2546512, 59.7126031 36.2544704, 59.7123616 36.2543446)",,,,
3619,2679309941,2679309942,0,258641921,False,,residential,30,12.258,67.7,حر ۷۴,,"LINESTRING (59.7135841 36.2547461, 59.7137106 36.2547879)",,,,
3620,2679309941,2679309939,0,258641921,False,,residential,30,34.072,252.0,حر ۷۴,,"LINESTRING (59.7135841 36.2547461, 59.7132228 36.2546512)",,,,
3621,2679309941,8977638322,0,258641906,False,,residential,30,45.005,133.5,ظفری ۱۴/۹ + شهید علی پور,,"LINESTRING (59.7135841 36.2547461, 59.7136022 36.2547237, 59.7137483 36.2545866, 59.7139453 36.2544697)",,,,
3622,2679309942,2679309941,0,258641921,False,,residential,30,12.258,247.7,حر ۷۴,,"LINESTRING (59.7137106 36.2547879, 59.7135841 36.2547461)",,,,
