,Mean NDVI,number,ID
0,0.0282869479996899,0,District 1
1,0.020406584122024896,1,District 1
2,0.01841902812364,2,District 1
3,-0.0418899837020084,3,District 1
4,-0.0342263349458788,4,District 1
5,0.0050741819506363,5,District 1
6,0.0029475731355791,6,District 1
7,,7,District 1
8,0.0129911585544746,8,District 1
9,0.012641300571046,9,District 1
10,0.0161485588495553,10,District 1
11,0.017553123971772,11,District 1
12,0.0197400127632067,12,District 1
13,0.018857588145613,13,District 1
14,0.0141918947066374,14,District 1
15,0.025850859859968496,15,District 1
16,0.026178763235061495,16,District 1
17,0.0199495532050609,17,District 1
18,0.016397120546528,18,District 1
19,,19,District 1
20,,20,District 1
21,0.0277045252265701,21,District 1
22,0.0163742912636111,22,District 1
23,-0.04809750705680631,23,District 1
24,0.0003207986127738076,24,District 1
25,,25,District 1
26,-0.0033150945946602,26,District 1
27,0.0153788239027438,27,District 1
28,-0.020147110433758296,28,District 1
29,0.0182947309655668,29,District 1
30,0.0106635169616209,30,District 1
31,-0.0051156420604501,31,District 1
32,0.0242343850151915,32,District 1
33,0.0267518698964616,33,District 1
34,0.0277119680736654,34,District 1
35,0.0225092619732817,35,District 1
36,0.02081841786603,36,District 1
37,0.0214763789732537,37,District 1
38,,38,District 1
39,0.0085697839357709,39,District 1
40,-0.0151291227573566,40,District 1
41,0.0031644774532991,41,District 1
42,0.0138573495921345,42,District 1
43,0.0061889262098009,43,District 1
44,-0.0073816740852512995,44,District 1
45,,45,District 1
46,0.008419931907872,46,District 1
47,-0.0016416473669343,47,District 1
48,,48,District 1
49,-0.0121313613327613,49,District 1
50,0.0222141214332041,50,District 1
51,0.0251814001522762,51,District 1
52,0.0279289329788917,52,District 1
53,0.029432629905875,53,District 1
54,0.030126377979528,54,District 1
55,0.0325526697014267,55,District 1
56,0.030247737108573095,56,District 1
57,0.0267753360136138,57,District 1
58,0.0296311095337791,58,District 1
59,0.0229674390231348,59,District 1
60,0.0215725011391474,60,District 1
61,0.025141768522612296,61,District 1
62,0.0321577122427657,62,District 1
63,-0.0055081988692403,63,District 1
64,0.0092548505965061,64,District 1
65,-0.0010025902844625,65,District 1
66,0.0125553010805723,66,District 1
67,,67,District 1
68,0.0032448538652275,68,District 1
69,0.0173831127577735,69,District 1
70,0.022132032240241295,70,District 1
71,0.018974583692872696,71,District 1
72,0.020457267146622896,72,District 1
73,0.022109139793259,73,District 1
74,0.026651003496043296,74,District 1
75,0.02722814473198,75,District 1
76,0.030258148668086,76,District 1
77,0.0285318532148295,77,District 1
78,0.030427869756525096,78,District 1
79,-0.0041980066621385,79,District 1
80,0.0250047606740845,80,District 1
81,0.021129988664141695,81,District 1
82,0.0161165561665222,82,District 1
83,0.0021185127650092,83,District 1
84,0.0290096820886695,84,District 1
85,0.0220403453450827,85,District 1
86,,86,District 1
87,-0.029574688728436,87,District 1
88,-0.0045509194034152,88,District 1
89,,89,District 1
90,0.0047020964851477,90,District 1
91,-0.0115812454159231,91,District 1
92,-0.0178423428782645,92,District 1
93,0.0152416132635754,93,District 1
94,0.0216646941520739,94,District 1
95,0.0188087607221545,95,District 1
96,0.022303114366169496,96,District 1
97,0.0232463560891364,97,District 1
98,0.0276065229234508,98,District 1
99,0.0310999032325242,99,District 1
100,0.0280131574089092,100,District 1
101,0.0287748681594099,101,District 1
102,0.0290971753109029,102,District 1
103,0.0214928337220592,103,District 1
104,0.0022597732932936,104,District 1
105,0.1334519322969644,105,District 1
106,-0.0294730738751992,106,District 1
107,0.0448792906715349,107,District 1
108,0.0414204260173876,108,District 6
109,0.0312995521964972,109,District 6
110,,110,District 6
111,,111,District 6
112,0.0171503707402658,112,District 6
113,0.0129861922220231,113,District 6
114,,114,District 6
115,0.0414698106724023,115,District 6
116,0.0377933037626957,116,District 6
117,0.0377299487546006,117,District 6
118,0.0381436999932898,118,District 6
119,0.0380799172459682,119,District 6
120,0.040057078075391,120,District 6
121,0.0428782175585856,121,District 6
122,0.049015634448477695,122,District 6
123,0.0473598457573644,123,District 6
124,0.0268211143756238,124,District 6
125,0.0133910677565324,125,District 6
126,,126,District 6
127,,127,District 6
128,0.030899049716028696,128,District 6
129,0.0027660858016142,129,District 6
130,,130,District 6
131,0.008371657043018198,131,District 6
132,,132,District 6
133,0.0135700293793476,133,District 6
134,0.026837094453839,134,District 6
135,,135,District 6
136,0.023482154387,136,District 6
137,0.0249894008066078,137,District 6
138,0.0002871746074294218,138,District 6
139,0.0361480220216482,139,District 6
140,0.041046647792570896,140,District 6
141,0.04275050871275089,141,District 6
142,0.0279247443393172,142,District 6
143,0.0249975467322554,143,District 6
144,0.0236867812035495,144,District 6
145,,145,District 6
146,0.0026776596747387,146,District 6
147,-0.0161618982345527,147,District 6
148,-0.0020853061943067,148,District 6
149,0.0231004602428714,149,District 6
150,0.0147178698881147,150,District 6
151,-0.0114653932047132,151,District 6
152,,152,District 6
153,0.0259734819984448,153,District 6
154,0.0259283888025446,154,District 6
155,,155,District 6
156,0.030610364206587,156,District 6
157,0.03802122373135029,157,District 6
158,0.0395528729252,158,District 6
159,0.0410662644045394,159,District 6
160,0.04348260468231029,160,District 6
161,0.0448449034046568,161,District 6
162,0.0480820957718967,162,District 6
163,0.043891409741035,163,District 6
164,0.0326179720262182,164,District 6
165,0.0279153865799388,165,District 6
166,0.026968209362990495,166,District 6
167,0.017234321394348,167,District 6
168,0.0180506806151287,168,District 6
169,,169,District 6
170,0.034360884072199,170,District 6
171,0.0236571678730868,171,District 6
172,0.0246102586715102,172,District 6
173,0.0336009312803756,173,District 6
174,,174,District 6
175,0.02301181996765,175,District 6
176,0.0356430838863749,176,District 6
177,0.03895829526844109,177,District 6
178,0.0335467880868655,178,District 6
179,0.0300281948704585,179,District 6
180,0.0303913452319738,180,District 6
181,0.0324053174685117,181,District 6
182,0.0349396291477275,182,District 6
183,0.0393665251336238,183,District 6
184,0.0417474277880751,184,District 6
185,0.04236273171416569,185,District 6
186,-0.0370955413664814,186,District 6
187,0.0350753429321547,187,District 6
188,0.0249215221769538,188,District 6
189,0.0169026536541464,189,District 6
190,0.024389479011581696,190,District 6
191,0.03674548804978849,191,District 6
192,0.033952082233847,192,District 6
193,,193,District 6
194,,194,District 6
195,0.0244559460902044,195,District 6
196,,196,District 6
197,0.0178683193176567,197,District 6
198,0.0424925212822878,198,District 6
199,0.0163441675280694,199,District 6
200,0.0375657612589751,200,District 6
