,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,junction,lanes,width
1276,276919111,270168260,0,"[551028104, 530946050]",False,حامد جنوبی ۳,residential,30,149.3,"LINESTRING (59.5451707 36.3137556, 59.5444951 36.3142004, 59.5438804 36.3146052)",309.3,,,
1277,276919112,270168984,0,24863131,False,گویا,residential,30,59.904,"LINESTRING (59.5465083 36.3128749, 59.546927 36.3132949)",38.8,,,
1278,276919112,270169214,0,24863131,False,گویا,residential,30,59.522,"LINESTRING (59.5465083 36.3128749, 59.5460884 36.3124601)",219.2,,,
1279,276919112,276919111,0,"[530946033, 530946028]",False,"['گویا ۴', 'مرجان ۳']",residential,30,154.77100000000002,"LINESTRING (59.5465083 36.3128749, 59.5458362 36.3133174, 59.5451707 36.3137556)",309.3,,,
1280,276919112,276919113,0,"[530946036, 530946021]",False,"['گویا ۳', 'کوشا ۴']",residential,30,135.327,"LINESTRING (59.5465083 36.3128749, 59.5471223 36.3124707, 59.5476779 36.3121049)",129.2,,,
1281,276919113,270168986,0,25409300,False,کوشا,residential,30,59.688,"LINESTRING (59.5476779 36.3121049, 59.5480992 36.3125207)",39.2,,,
1282,276919113,276919134,0,25409300,False,کوشا,residential,30,60.108,"LINESTRING (59.5476779 36.3121049, 59.5472536 36.3116862)",219.2,,,
1283,276919113,265809839,0,"[191081234, 234462075]",False,"['بزرگمهر ۴', 'کوشا ۳']",residential,30,154.779,"LINESTRING (59.5476779 36.3121049, 59.548321 36.3116814, 59.5490155 36.3112241)",129.3,,,
1284,276919113,276919112,0,"[530946036, 530946021]",False,"['گویا ۳', 'کوشا ۴']",residential,30,135.327,"LINESTRING (59.5476779 36.3121049, 59.5471223 36.3124707, 59.5465083 36.3128749)",309.2,,,
1285,276919114,265809839,0,93715801,False,بزرگمهر ۳,residential,30,69.98,"LINESTRING (59.5496206 36.3108262, 59.5490155 36.3112241)",309.2,,,
1286,276919133,265809840,0,25409286,False,بزرگمهر ۱,residential,30,68.795,"LINESTRING (59.5491788 36.3104105, 59.5485846 36.3108023)",309.3,,,
1287,276919134,276919113,0,25409300,False,کوشا,residential,30,60.108,"LINESTRING (59.5472536 36.3116862, 59.5476779 36.3121049)",39.2,,,
1288,276919134,276919306,0,25409300,False,کوشا,residential,30,65.07,"LINESTRING (59.5472536 36.3116862, 59.5468217 36.3112659, 59.5467923 36.3112343)",219.4,,,
1289,276919134,265809840,0,"[234462049, 93715876]",False,"['بزرگمهر ۲', 'کوشا ۱']",residential,30,154.541,"LINESTRING (59.5472536 36.3116862, 59.5479136 36.3112479, 59.5485846 36.3108023)",129.5,,,
1290,276919134,270169214,0,"[530946035, 530946022]",False,"['گویا ۱', 'کوشا ۲']",residential,30,135.29700000000005,"LINESTRING (59.5472536 36.3116862, 59.546674 36.3120711, 59.5460884 36.3124601)",309.5,,,
1291,276919221,276919222,0,25409290,False,بزرگمهر ۹,residential,30,69.869,"LINESTRING (59.5508909 36.3120712, 59.5505534 36.3122934, 59.5505194 36.3123158, 59.5502871 36.3124688)",309.3,,,
1292,276919222,265809837,0,710581594,False,بزرگمهر جنوبی,tertiary,40,66.478,"LINESTRING (59.5502871 36.3124688, 59.5507586 36.3129304)",39.5,,,
1293,276919222,265809838,0,710581594,False,بزرگمهر جنوبی,tertiary,40,58.476,"LINESTRING (59.5502871 36.3124688, 59.5498723 36.3120628)",219.5,,,
1294,276919222,276919221,0,25409290,False,بزرگمهر ۹,residential,30,69.869,"LINESTRING (59.5502871 36.3124688, 59.5505194 36.3123158, 59.5505534 36.3122934, 59.5508909 36.3120712)",129.3,,,
